sie;sig
SAO JOAO DO ITAPERIU          ;SÃO JOÃO DO ITAPERIÚSC
SAO JOAO DO OESTE             ;SÃO JOÃO DO OESTESC
S JOAO DO SUL                 ;SÃO JOÃO DO SULSC
SAO JOAQUIM                   ;SÃO JOAQUIMSC
S JOSE DO CEDRO               ;SÃO JOSÉ DO CEDROSC
S J DO CERRITO                ;SÃO JOSÉ DO CERRITOSC
SAO JOSE                      ;SÃO JOSÉSC
S LOURENCO OESTE              ;SÃO LOURENÇO DO OESTESC
S LUDGERO                     ;SÃO LUDGEROSC
SAO LUDGERO                   ;SÃO LUDGEROSC
S MARTINHO                    ;SÃO MARTINHOSC
SAO MARTINHO                  ;SÃO MARTINHOSC
SAO MIGUEL DA BOA VISTA       ;SÃO MIGUEL DA BOA VISTASC
S MIGUEL OESTE                ;SÃO MIGUEL DO OESTESC
S PEDRO DE ALCANTARA          ;SÃO PEDRO DE ALCÂNTARASC
SCHROEDER                     ;SCHROEDERSC
SEARA                         ;SEARASC
SERRA ALTA                    ;SERRA ALTASC
SIDEROPOLIS                   ;SIDERÓPOLISSC
SOMBRIO                       ;SOMBRIOSC
TAIO                          ;TAIÓSC
TANGARA                       ;TANGARÁSC
TIJUCAS                       ;TIJUCASSC
TIMBE DO SUL                  ;TIMBÉ DO SULSC
TIMBO GRANDE                  ;TIMBÓ GRANDESC
TIMBO                         ;TIMBÓSC
TRES BARRAS                   ;TRÊS BARRASSC
TREVISO                       ;TREVISOSC
TREZE DE MAIO                 ;TREZE DE MAIOSC
TREZE TILIAS                  ;TREZE TÍLIASSC
TROMB CENTRAL                 ;TROMBUDO CENTRALSC
TUBARAO                       ;TUBARÃOSC
TUNAPOLIS                     ;TUNÁPOLISSC
TURVO                         ;TURVOSC
UNIAO DO OESTE                ;UNIÃO DO OESTESC
URUBICI                       ;URUBICISC
URUPEMA                       ;URUPEMASC
URUSSANGA                     ;URUSSANGASC
VARGEAO                       ;VARGEÃOSC
VARGEM                        ;VARGEMSC
VIDAL RAMOS                   ;VIDAL RAMOSSC
VIDEIRA                       ;VIDEIRASC
VITOR MEIRELES                ;VITOR MEIRELESSC
WITMARSUM                     ;WITMARSUMSC
XANXERE                       ;XANXERÊSC
XAXIM                         ;XAXIMSC
ZORTEA                        ;ZORTÉASC
