sie;sig
BELA VISTA     ;CAXAMBU DO SULSC
BELA VISTA 1   ;PALHOÇASC
BELA VISTA 10  ;SÃO LOURENÇO DO OESTESC
BELA VISTA 11  ;GASPARSC
BELA VISTA 12  ;ALTO BELA VISTASC
BELA VISTA 2   ;SÃO JOSÉSC
BELA VISTA 4   ;MAFRASC
BELA VISTA 5   ;ERVAL VELHOSC
BELA VISTA 6   ;SÃO CARLOSSC
BELA VISTA 7   ;ITUPORANGASC
BELA VISTA 8   ;GRAVATALSC
BELA VISTA 9   ;CAMPOS NOVOSSC
BELCHIOR ALTO  ;GASPARSC
BELMONTE       ;BELMONTESC
BELO HORIZONTE ;MARAVILHASC
BENEDITO ALTO  ;BENEDITO NOVOSC
BENEDITO NOVO  ;BENEDITO NOVOSC
BENTOS         ;LAGUNASC
BETANIA        ;ANGELINASC
BIGUA          ;IRACEMINHASC
BIGUACU        ;BIGUAÇUSC
BIGUACU F(J.C) ;BIGUAÇUSC
BIGUACU FUNDOS ;BIGUAÇUSC
BILETZKI       ;ITAIÓPOLISSC
BLINK          ;VIDAL RAMOSSC
BLUMENAU       ;BLUMENAUSC
BLUMENAU-KREMER;BLUMENAUSC
BOA ESPERANCA  ;MAJOR GERCINOSC
BOA ESPERANCA 3;MARAVILHASC
BOA VISTA      ;IÇARASC
BOA VISTA 2    ;JOINVILLESC
BOA VISTA 3    ;ILHOTASC
BOCA DA BARRA  ;ARAQUARISC
BOCA DA SERRA  ;LAURO MULLERSC
BOCA DO PIQUE  ;MELEIROSC
BOCAINA        ;BOCAINA DO SULSC
BOI PRETO      ;SANTA CECÍLIASC
BOITEUXBURGO   ;MAJOR GERCINOSC
BOM J DA SERRA ;BOM JARDIM DA SERRASC
BOM J OESTE    ;BOM JESUS DO OESTESC
BOM J OESTE 2  ;MODELOSC
BOM JESUS      ;BOM JESUSSC
BOM JESUS - RS ;SC
BOM RETIRO     ;BOM RETIROSC
BOM SUCESSO 1  ;ITAIÓPOLISSC
BOM SUCESSO 2  ;IOMERÊSC
BOM SUCESSO 3  ;IPUMIRIMSC
BOMBAS         ;PORTO BELOSC
BOMBINHAS      ;BOMBINHASSC
BONITO         ;IPUMIRIMSC
BOTUVERA       ;BOTUVERÁSC
BRACATINGA     ;TROMBUDO CENTRALSC
BRACO AURORA   ;AURORASC
BRACO DO NORTE ;BRAÇO DO NORTESC
BRACO SERAFIM  ;LUIZ ALVESSC
BRACO TROMBUDO ;BRAÇO DO TROMBUDOSC
BRAGAGNOLO     ;FAXINAL DOS GUEDESSC
BRILHANTE      ;ITAJAÍSC
BRITADOR       ;MARAVILHASC
BRUNOPOLIS     ;CAMPOS NOVOSSC
BRUSQUE        ;BRUSQUESC
C ARTUR MARIANO;SÃO JOSÉSC
C BRANCO       ;PARAÍSOSC
C IMPERATRIZ   ;SANTO AMARO DA IMPERATRIZSC
C J PALMEIRAS  ;SÃO JOSÉSC
CAB RIB AREIA  ;AGRONÔMICASC
CAB. POCO RICO ;SÃO MIGUEL DA BOA VISTASC
CAB.IRACEMINHA ;MARAVILHASC
CABECUDA       ;LAGUNASC
CABECUDAS      ;LAGUNASC
CABRAS         ;NAVEGANTESSC
CACADOR        ;CAÇADORSC
CACADOR 1      ;CAPIVARI DE BAIXOSC
CACHIMBO       ;CONCÓRDIASC
CACHOEIRA      ;PRAIA GRANDESC
CACHOEIRA SUL  ;SC
CACHOEIRINHA   ;PORTO UNIÃOSC
CADEADOS       ;LAGESSC
CAETE          ;URUSSANGASC
CAFE FILHO     ;ANCHIETASC
CAIBI          ;CAIBISC
CAIEIRA NORTE  ;GOVERNADOR CELSO RAMOSSC
CAIRU          ;CORONEL FREITASSC
CALMON         ;CALMONSC
CAMACHO        ;JAGUARUNASC
CAMBORIU       ;CAMBORIÚSC
CAMBUCICA      ;RIQUEZASC
CAMINHO NOVO   ;PALHOÇASC
CAMINHO PINHAL ;DONA EMMASC
CAMINHO POSTO  ;DONA EMMASC
CAMP VACARIANO ;URUBICISC
CAMPESTRE      ;VIDAL RAMOSSC
CAMPINA ALEGRIA;CATANDUVASSC
CAMPINA BELA   ;VIDEIRASC
CAMPINAS 1     ;SÃO JOSÉSC
CAMPINAS 2     ;DESCANSOSC
CAMPINHO       ;CAMPO BELO DO SULSC
CAMPO ALEGRE   ;CAMPO ALEGRESC
CAMPO ALTO     ;CAÇADORSC
CAMPO BELO SUL ;CAMPO BELO DO SULSC
CAMPO BOM      ;JAGUARUNASC
CAMPO CHATO    ;OTACÍLIO COSTASC
CAMPO DA ESTIVA;ITAIÓPOLISSC
CAMPO DO AREIAO;SANTA CECÍLIASC
CAMPO ERE      ;CAMPO ERÊSC
CAMPO MAE LUZIA;IÇARASC
CAMPOS NOVOS   ;CAMPOS NOVOSSC
CAMPOS VERDES  ;LAGUNASC
CANELA GAUCHA  ;SÃO MIGUEL DO OESTESC
CANELA GRANDE  ;PEDRAS GRANDESSC
CANELINHA      ;CANELINHASC
CANGUERI       ;IMARUÍSC
CANHADA GRANDE ;CONCÓRDIASC
CANHADAO       ;ABELARDO LUZSC
CANOAS 1       ;BOM RETIROSC
CANOAS 3       ;LUIZ ALVESSC
CANOAS 4       ;VARGEMSC
CANOINHAS      ;CANOINHASSC
CANTO GANCHOS  ;GOVERNADOR CELSO RAMOSSC
CANTO GRANDE   ;PORTO BELOSC
CAPAO ALTO     ;CAPÃO ALTOSC
CAPAO ALTO 2   ;SANTA CECÍLIASC
CAPELA 1       ;SÃO BONIFÁCIOSC
CAPELA 2       ;RIO DO OESTESC
CAPELA DIVINO  ;CAMPO BELO DO SULSC
CAPELA MOTTAS 1;CAMPO BELO DO SULSC
CAPELA/A.ARIRIU;SANTO AMARO DA IMPERATRIZSC
CAPINZAL       ;CAPINZALSC
CAPITAO MOR    ;BOCAINA DO SULSC
CAPIVARAS      ;BOM JARDIM DA SERRASC
CAPIVARI BAIXO ;CAPIVARI DE BAIXOSC
CARAIBA        ;SEARASC
CARAVAGIO 2    ;NOVA VENEZASC
CARAZINHO      ;SC
CARLOS GOMES   ;MAREMASC
CARMELINDA     ;OUROSC
CARREIRAS      ;LAGUNASC
CARVOEIRA      ;IRANISC
CASCA RS       ;SC
CASCATA        ;SÃO LOURENÇO DO OESTESC
CASCAVEL       ;CHAPECÓSC
CASQUEIRO      ;JAGUARUNASC
CASTELHANO     ;JABORÁSC
CATANDUVAS     ;CATANDUVASSC
CATARINA 2     ;SÃO JOSÉSC
CATUIRA        ;ALFREDO WAGNERSC
CAUNAL         ;RIO NEGRINHOSC
CAVEIRINHA     ;LAGESSC
CAXAMBU DO SUL ;CAXAMBU DO SULSC
CAXIAS DO SUL  ;SC
CEASA          ;SÃO JOSÉSC
CEDRO ALTO     ;RIO DOS CEDROSSC
CEDRO NEGRO    ;LAGESSC
CELSO RAMOS    ;CELSO RAMOSSC
CEMACO         ;IÇARASC
CENTR FERNANDES;SÃO JOÃO BATISTASC
CERAMICA       ;PALHOÇASC
CERRO ALTO     ;PALMEIRASC
CERRO BRANCO 1 ;CAÇADORSC
CERRO BRANCO 2 ;SÃO MIGUEL DO OESTESC
CERRO DO AREAO ;SANTA CECÍLIASC
CERRO GALO     ;PORTO UNIÃOSC
CERRO NEGRO    ;CERRO NEGROSC
CH FORQUILHINHA;SÃO JOSÉSC
CHAPADA        ;SEARASC
CHAPADAO TIGRE ;VIDAL RAMOSSC
CHAPECO        ;CHAPECÓSC
CHAPECOZINHO   ;XANXERÊSC
CIDADE ALTA    ;ARARANGUÁSC
CIDADE ALTA 1  ;FORQUILHINHASC
CIGANA         ;LAGUNASC
CINEMA         ;VIDAL RAMOSSC
CLARAIBA       ;NOVA TRENTOSC
CLEVELANDIA PR ;SC
CLUBE GUARANI  ;BRUSQUESC
COBRAS         ;AURORASC
COCAL          ;URUSSANGASC
COLONIA CELLA  ;CHAPECÓSC
COLONIA RUTHES ;ITAIÓPOLISSC
COLONIA SANTANA;SÃO JOSÉSC
COLORADO       ;SANTA TEREZINHASC
CONCEICAO      ;ITAPIRANGASC
CONCORDIA      ;CONCÓRDIASC
CONSOLACAO     ;URUBICISC
CONSOLADORA    ;MARAVILHASC
COQUEIROS      ;ANGELINASC
CORACAO        ;CATANDUVASSC
CORDILHEIRA    ;CORDILHEIRA ALTASC
CORONEL FREITAS;CORONEL FREITASSC
CORONEL MARTINS;CORONEL MARTINSSC
CORREDEIRAS    ;RIO NEGRINHOSC
CORREIA PINTO  ;CORREIA PINTOSC
CORRUCHEL      ;POUSO REDONDOSC
CORUPA         ;CORUPÁSC
COST ARMACAO   ;GOVERNADOR CELSO RAMOSSC
COSTA DA LAGOA ;JAGUARUNASC
COSTA MAMPITUBA;SÃO JOÃO DO SULSC
COSTAO         ;JACINTO MACHADOSC
COTIAS         ;LONTRASSC
COTOVELO       ;JACINTO MACHADOSC
COVA ONCA      ;SÃO JOSÉSC
CRAVEIRO       ;SANTA TEREZINHASC
CRICIUMA       ;CRICIÚMASC
CRISTALINA     ;BOTUVERÁSC
CRISTO REI     ;ITAPIRANGASC
CRUZ ALTA RS   ;SC
CRUZEIRO 1     ;PAPANDUVASC
CRUZEIRO 2     ;SÃO JOAQUIMSC
CRUZINHAS      ;SÃO MIGUEL DO OESTESC
CUBATAO        ;PALHOÇASC
CUBATAO(JOMAR) ;PALHOÇASC
CUBICULO       ;TREZE DE MAIOSC
CUNHA PORA     ;CUNHA PORÃSC
CURITIBA       ;SC
CURITIBANOS    ;CURITIBANOSSC
CURRALINHOS    ;PASSO DE TORRESSC
D CERQUEIRA    ;DIONÍSIO CERQUEIRASC
D JOAQUIM      ;BRUSQUESC
DAL PAI        ;CAMPOS NOVOSSC
DALBERGIA      ;IBIRAMASC
DEMORAS        ;ALFREDO WAGNERSC
DERRUBADA      ;SÃO JOSÉ DO CEDROSC
DESCANSO       ;DESCANSOSC
DESQUITE       ;OTACÍLIO COSTASC
DEZ DE NOVEMBRO;FRAIBURGOSC
DIAMANTE       ;RODEIOSC
DIAMANTINA     ;PALMITOSSC
DIST. JUVENCIO ;MARAVILHASC
DISTRITO       ;ITAIÓPOLISSC
DIV SC/RS      ;LAGESSC
DIV SC/RS BR285;TIMBÉ DO SULSC
DIV SC/RS BR480;CHAPECÓSC
DIV SC/RS FAX  ;PRAIA GRANDESC
DIV-BELCHIOR   ;BLUMENAUSC
DIVISA 1       ;RANCHO QUEIMADOSC
DIVISA 10      ;ALTO BELA VISTASC
DIVISA 11      ;ARAQUARISC
DIVISA 12      ;ITÁSC
DIVISA 2       ;INDAIALSC
DIVISA 4       ;XANXERÊSC
DIVISA 6       ;GUABIRUBASC
DIVISA 8       ;BLUMENAUSC
DIVISA 9       ;GARUVASC
DIVISA PR/SC   ;ITAPOÁSC
DIV-ITAJAI     ;NAVEGANTESSC
DIV-LUIS ALVES ;LUIZ ALVESSC
DIV-NAVEGANTES ;LUIZ ALVESSC
DIV-PICARRAS   ;BARRA VELHASC
DOIS IRMAOS    ;JACINTO MACHADOSC
DOM CARLOS     ;PONTE SERRADASC
DONA EMMA      ;DONA EMMASC
DONA LUIZA     ;ATALANTASC
DONA PAULA     ;LONTRASSC
DOUTOR PEDRINHO;DOUTOR PEDRINHOSC
DOZE           ;LAURO MULLERSC
DR PEDRINHO    ;DOUTOR PEDRINHOSC
DR. GUIMARAES  ;IPUMIRIMSC
DUAS PORTEIRAS ;CAMPO BELO DO SULSC
E CERRO DO GALO;MATOS COSTASC
E CERRO GALO   ;PORTO UNIÃOSC
E PRAIA BONITA ;OUROSC
E.CAMP.REDONDA ;ITAIÓPOLISSC
ENC ARATINGAUBA;IMARUÍSC
ENC B VERMELHO2;MARACAJÁSC
ENC BAIA       ;ITAIÓPOLISSC
ENC BARRA VERDE;HERVAL D'OESTESC
ENC DEMBOSKI   ;CRICIÚMASC
ENC DONA EMMA  ;DONA EMMASC
ENC F S ANTONIO;SÃO JOSÉSC
ENC GANCHOS    ;BIGUAÇUSC
ENC JAGUARUNA  ;JAGUARUNASC
ENC JAQUIRANA  ;LAGESSC
ENC JUNDIA     ;MELEIROSC
ENC L OLINDA   ;CORONEL FREITASSC
ENC M GRANDE 2 ;JAGUARUNASC
ENC MORRO CHATO;MELEIROSC
ENC RODA VIVA  ;PALMITOSSC
ENC S FRANCISCO;DIONÍSIO CERQUEIRASC
ENC SAO SIMAO  ;CAMPOS NOVOSSC
ENC SEDE MARINA;DIONÍSIO CERQUEIRASC
ENC TOCA GRANDE;RIO DO OESTESC
ENC TRIUNFO    ;CAMPOS NOVOSSC
ENC V ALEGRE 1 ;QUILOMBOSC
ENC. S.CANIVETE;MAFRASC
ENC.RIO POCOS  ;CANOINHASSC
ENC.TOMAZZI    ;IRINEÓPOLISSC
ENCANO         ;INDAIALSC
ENCANTADA      ;GAROPABASC
ENCRUZILHADA 1 ;ITAIÓPOLISSC
ENCRUZILHADA 2 ;CAMPOS NOVOSSC
ENCRUZILHADA 4 ;ABELARDO LUZSC
ENCRUZILHADA 6 ;CANOINHASSC
ENGENHO VELHO  ;JACINTO MACHADOSC
ENGENHO VELHO 1;CAXAMBU DO SULSC
ENSEADA        ;SÃO FRANCISCO DO SULSC
ENSEADA BRITO  ;PALHOÇASC
ENT BONITA     ;SÃO MIGUEL DO OESTESC
ENT IRINEOPOLIS;CANOINHASSC
ENT.E.CORNELSON;ITAPOÁSC
ENTR B.BONITA  ;BARRA BONITASC
ENTRADA LAGES  ;LAGESSC
ENTRE RIOS     ;ENTRE RIOSSC
ENTRE RIOS 1   ;ENTRE RIOSSC
ERECHIM        ;SC
ERMIDA         ;SÃO JOSÉ DO CERRITOSC
ERMO           ;ERMOSC
ERVAL VELHO    ;ERVAL VELHOSC
ESCALVADO      ;NAVEGANTESSC
ESCOLA         ;RIO DOS CEDROSSC
ESCOLA E SOARES;JOINVILLESC
ESPIGAO 1      ;TAIÓSC
ESPIGAO PEDRA  ;ARARANGUÁSC
ESPLANADA      ;IÇARASC
ESPRAIADO      ;CANELINHASC
ESQUINA ARARA  ;DIONÍSIO CERQUEIRASC
ESQUINA POPI   ;ITAPIRANGASC
EST FIORITA    ;SIDERÓPOLISSC
EST RODRIGUES  ;BALNEÁRIO GAIVOTASC
EST VELHA      ;CAMPOS NOVOSSC
ESTACAO COCAL  ;MORRO DA FUMAÇASC
ESTACAO PALHOCA;PALHOÇASC
