sie;sig
RIO DO POUSO   ;TUBARÃOSC
RIO DO SALTO 2 ;TAIÓSC
RIO DO SUL     ;RIO DO SULSC
RIO DO TIGRE   ;URUBICISC
RIO DORIA      ;SIDERÓPOLISSC
RIO DOS ANJOS  ;ARARANGUÁSC
RIO DOS BUGRES ;ITUPORANGASC
RIO DOS CEDROS ;RIO DOS CEDROSSC
RIO DOS CEDROS2;ÁGUAS MORNASSC
RIO DOS PARDOS ;CANOINHASSC
RIO DOS PATOS  ;LEBON RÉGISSC
RIO DOS POCOS  ;BELA VISTA DO TOLDOSC
RIO DOS TOUROS ;PAINELSC
RIO DUNA       ;IMARUÍSC
RIO ESPERANCA  ;RIO DOS CEDROSSC
RIO FORTUNA    ;RIO FORTUNASC
RIO GRANDE     ;MONTE CASTELOSC
RIO HERTA      ;RIO DOS CEDROSSC
RIO KRISEMBACK ;JOSÉ BOITEUXSC
RIO LEAO       ;CAMPOS NOVOSSC
RIO MAIOR      ;URUSSANGASC
RIO MANDIOCA   ;SÃO BENTO DO SULSC
RIO NEGRINHO   ;RIO NEGRINHOSC
RIO NEGRO PR   ;SC
RIO NOVO 1     ;BALNEÁRIO GAIVOTASC
RIO NOVO 2     ;INDAIALSC
RIO NOVO 3     ;ÁGUAS MORNASSC
RIO NOVO 4     ;LUIZ ALVESSC
RIO NOVO 5     ;AGROLÂNDIASC
RIO NOVO 6     ;ANGELINASC
RIO PASSA DOIS ;SANTA CECÍLIASC
RIO PEDRAS     ;TAIÓSC
RIO PEDRAS 2   ;VIDEIRASC
RIO PEDRAS 4   ;LEOBERTO LEALSC
RIO PEQUENO    ;CAMBORIÚSC
RIO PEQUENO 2  ;GRÃO PARÁSC
RIO PRETO 1    ;MAFRASC
RIO PRETO 2    ;MATOS COSTASC
RIO ROBERTO DV ;LEBON RÉGISSC
RIO RUFINO     ;URUBICISC
RIO S JOAO     ;SÃO MARTINHOSC
RIO S LOURENCO ;MAFRASC
RIO SARGENTO   ;MARAVILHASC
RIO SETE       ;SÃO MARTINHOSC
RIO VARGEDO    ;TREZE DE MAIOSC
RIO WALTRICK   ;RIO DO CAMPOSC
RIO WIGAND     ;JOSÉ BOITEUXSC
RIO WILDI      ;SALETESC
RIQUEZA        ;RIQUEZASC
ROCA GRANDE    ;IMBITUBASC
ROCADO         ;SÃO JOSÉSC
ROCINHA        ;TIMBÉ DO SULSC
RODEIO 50      ;RODEIOSC
RODEIO 90 SEDE ;RODEIOSC
RODEIO DAREIA  ;TURVOSC
RODEIOZINHO    ;PAPANDUVASC
ROMELANDIA     ;ROMELÂNDIASC
RONDINHA       ;VIDEIRASC
ROSA DO MAR    ;SÃO JOÃO DO SULSC
RUA QUILOMBO   ;SÃO JOSÉSC
RUA S ANTONIO  ;SÃO JOSÉSC
S A IMPERATRIZ ;SANTO AMARO DA IMPERATRIZSC
S ANA          ;TANGARÁSC
S ANGELO       ;DIONÍSIO CERQUEIRASC
S ANTONIO 1    ;SÃO BONIFÁCIOSC
S ANTONIO 10   ;TAIÓSC
S ANTONIO 2 DV ;ARROIO TRINTASC
S ANTONIO 4    ;ANITA GARIBALDISC
S ANTONIO 5    ;BARRA VELHASC
S ANTONIO 6    ;INDAIALSC
S ANTONIO 7    ;SÃO JOSÉ DO CERRITOSC
S ANTONIO 8    ;CONCÓRDIASC
S ANTONIO 9    ;ITAPIRANGASC
S APOLONIA     ;JAGUARUNASC
S BELA VISTA   ;SÃO LOURENÇO DO OESTESC
S BENTO BAIXO  ;NOVA VENEZASC
S BENTO DO SUL ;SÃO BENTO DO SULSC
S BERNARDINO   ;SÃO BERNARDINOSC
S BONIFACIO    ;SÃO BONIFÁCIOSC
S BONIFACIO 3  ;NOVA VENEZASC
S BRAS         ;SÃO DOMINGOSSC
S C ITAGUACU   ;SÃO JOSÉSC
S CATARINA 1   ;CAMPOS NOVOSSC
S CATARINA 3   ;TANGARÁSC
S CATARINA 4   ;VARGEÃOSC
S CATARINA 5   ;ARARANGUÁSC
S CLARA 1      ;SÃO CARLOSSC
S CLARA 2      ;JOAÇABASC
S CLARA 3      ;ORLEANSSC
S CRISTOVAO 1  ;TUBARÃOSC
S CRISTOVAO 2  ;TRÊS BARRASSC
S CRISTOVAO 3  ;ARMAZÉMSC
S CRISTOVAO SUL;SÃO CRISTOVÃO DO SULSC
S CRUZ 1       ;BARRA VELHASC
S CRUZ 2       ;FORQUILHINHASC
S CRUZ 3       ;ITÁSC
S EXPEDITO     ;SÃO MIGUEL DO OESTESC
S FE           ;DIONÍSIO CERQUEIRASC
S FILOMENA     ;SÃO PEDRO DE ALCÂNTARASC
S FRAIATA      ;TANGARÁSC
S FRANCISCO 1  ;SÃO BONIFÁCIOSC
S FRANCISCO 3  ;NOVA VENEZASC
S FRANCISCO 4  ;XANXERÊSC
S FRANCISCO SUL;SÃO FRANCISCO DO SULSC
S GABRIEL      ;TREZE DE MAIOSC
S HELENA 1     ;SANTA HELENASC
S HELENA 2     ;JABORÁSC
S ISABEL       ;ÁGUAS MORNASSC
S IZABEL 1     ;FORQUILHINHASC
S J ARMAZEM 2  ;ARMAZÉMSC
S J DO CERRITO ;SÃO JOSÉ DO CERRITOSC
S J DO ITAPERIU;SÃO JOÃO DO ITAPERIÚSC
S JOAO 1       ;PAPANDUVASC
S JOAO 4       ;TUBARÃOSC
S JOAO 5       ;SÃO CARLOSSC
S JOAO BATISTA ;SÃO JOÃO BATISTASC
S JOAO DO OESTE;SÃO JOÃO DO OESTESC
S JOAO DO SUL  ;SÃO JOÃO DO SULSC
S JORGE 2      ;INDAIALSC
S JOSE 1(A.IND);SÃO JOSÉSC
S JOSE 12      ;PAIALSC
S JOSE 3       ;PAPANDUVASC
S JOSE 5       ;RIO DOS CEDROSSC
S JOSE 6       ;CONCÓRDIASC
S JOSE DO CEDRO;SÃO JOSÉ DO CEDROSC
S JUDAS TADEU  ;BARRA BONITASC
S LEONARDO     ;ALFREDO WAGNERSC
S LOURENCO OEST;SÃO LOURENÇO DO OESTESC
S LUCIA        ;SEARASC
S LUCIA 3      ;JABORÁSC
S LUDGERO      ;SÃO LUDGEROSC
S LUIZ 1       ;TAIÓSC
S LUIZ 3       ;MELEIROSC
S LUZIA 1      ;JARAGUÁ DO SULSC
S LUZIA 2      ;TIJUCASSC
S LUZIA 3      ;CRICIÚMASC
S LUZIA 5      ;ABDON BATISTASC
S M BAIXO      ;TUBARÃOSC
S M BOA VISTA  ;SÃO MIGUEL DA BOA VISTASC
S MARIA 2      ;ANTÔNIO CARLOSSC
S MARIA 3      ;SÃO BONIFÁCIOSC
S MARIA 4      ;BENEDITO NOVOSC
S MARIA 5      ;RIO DO CAMPOSC
S MARTINHO     ;SÃO MARTINHOSC
S MATEUS SUL PR;SC
S MAURICIO     ;BRAÇO DO NORTESC
S MIGUEL 1     ;GUARAMIRIMSC
S MIGUEL 2     ;CAMPO ALEGRESC
S MIGUEL 3     ;PORTO UNIÃOSC
S MIGUEL 4     ;BIGUAÇUSC
S MIGUEL OESTE ;SÃO MIGUEL DO OESTESC
S NICOLAU      ;NAVEGANTESSC
S P ALCANTARA  ;SÃO PEDRO DE ALCÂNTARASC
S P ALCANTARA 1;GUARAMIRIMSC
S P ALCANTARA 2;SC
S PEDRO 1      ;ANITA GARIBALDISC
S PEDRO 2      ;ITAIÓPOLISSC
S PEDRO 4      ;GUABIRUBASC
S PEDRO 5      ;CAÇADORSC
S PEDRO 6      ;URUSSANGASC
S PEDRO 7      ;ITAPIRANGASC
S PEDRO 8      ;FORQUILHINHASC
S PEDRO 9      ;SÃO MIGUEL DO OESTESC
S PEDRO DV     ;BRUSQUESC
S R DOLMANN    ;IBIRAMASC
S RAFAEL       ;IPUMIRIMSC
S RITA 1       ;SÃO MIGUEL DO OESTESC
S RITA 2       ;SÃO JOAQUIMSC
S RITA 3       ;VARGEMSC
S ROQUE 3      ;GRAVATALSC
S ROQUE 5      ;SÃO LOURENÇO DO OESTESC
S ROQUE 6      ;CHAPECÓSC
S ROQUE 9      ;ABDON BATISTASC
S ROSA 1       ;INDAIALSC
S ROSA 2       ;SOMBRIOSC
S ROSA DE LIMA ;SANTA ROSA DE LIMASC
S ROSA DO SUL  ;SANTA ROSA DO SULSC
S SEBASTIAO 1  ;PALHOÇASC
S SEBASTIAO 2  ;TREZE DE MAIOSC
S T PROGRESSO  ;SANTA TEREZINHA DO PROGRESSOSC
S TEREZA       ;SÃO PEDRO DE ALCÂNTARASC
S TEREZINHA 3  ;LAGESSC
S TEREZINHA 5  ;ITAIÓPOLISSC
S TEREZINHA 8  ;FORQUILHINHASC
S TEREZINHA 9  ;SÃO JOSÉ DO CEDROSC
S TOMAZ        ;IMARUÍSC
S VALENTIM 1   ;SÃO LOURENÇO DO OESTESC
S VALENTIM SUL ;DESCANSOSC
S. BARBARA     ;CAMPOS NOVOSSC
S.T. PROGRESSO ;SANTA TEREZINHA DO PROGRESSOSC
SAI MIRIM      ;GARUVASC
SALAO          ;INDAIALSC
SALETE         ;ROMELÂNDIASC
SALGADO        ;IPUMIRIMSC
SALSEIRO       ;CANOINHASSC
SALSEIRO 2     ;VIDAL RAMOSSC
SALTINHO       ;SALTINHOSC
SALTINHO 1     ;CAMPO ALEGRESC
SALTO CANOINHAS;MAJOR VIEIRASC
SALTO CORRENTE ;FREI ROGÉRIOSC
SALTO VELOSO   ;SALTO VELOSOSC
SALTO WEISSBACK;BLUMENAUSC
SAMBURA        ;IPUAÇUSC
SANGA DA AREIA ;ARARANGUÁSC
SANGA DA TOCA  ;ARARANGUÁSC
SANGA DAREIA 2 ;GRAVATALSC
SANGA DAREIA 4 ;JACINTO MACHADOSC
SANGA DO CAFE  ;FORQUILHINHASC
SANGA ENGENHO  ;CRICIÚMASC
SANGA GRANDE   ;MELEIROSC
SANGAO         ;CRICIÚMASC
SANGAO 2       ;JAGUARUNASC
SANGAO 3       ;JAGUARUNASC
SANGAO(C.ALTA) ;CRICIÚMASC
SANTA CATARINA ;ÁGUA DOCESC
SANTA CECILIA  ;SANTA CECÍLIASC
SANTA FE BAIXA ;ITAPIRANGASC
SANTA INES     ;BALNEÁRIO CAMBORIÚSC
SANTA LIBERA   ;CRICIÚMASC
SANTA LUCIA 3  ;CAPIVARI DE BAIXOSC
SANTA LUZIA    ;CRICIÚMASC
SANTA RITA     ;SÃO JOAQUIMSC
SANTA TEREZINHA;FORQUILHINHASC
SANTANA 1      ;ITUPORANGASC
SANTANA 2      ;URUSSANGASC
SANTANA 3      ;SÃO LOURENÇO DO OESTESC
SANTIAGO       ;SANTIAGO DO SULSC
SANTIAGO DO SUL;SANTIAGO DO SULSC
SANTO ANTONIO  ;ÁGUA DOCESC
SAO BERNARDINO ;SÃO BERNARDINOSC
SAO BONIFACIO  ;SÃO BONIFÁCIOSC
SAO CARLOS     ;SÃO CARLOSSC
SAO DOMINGOS   ;SÃO DOMINGOSSC
SAO JOAO       ;TRÊS BARRASSC
SAO JOAO 7     ;IPUAÇUSC
SAO JOAO 8     ;ALTO BELA VISTASC
SAO JOAQUIM    ;SÃO JOAQUIMSC
SAO JOSE       ;SÃO JOSÉSC
SAO JOSE 12    ;NOVA ERECHIMSC
SAO JOSE-ROCADO;SÃO JOSÉSC
SAO LUDGERO    ;SÃO LUDGEROSC
SAO MARTINHO   ;SÃO MARTINHOSC
SAO ROQUE 10   ;VARGEMSC
SAO SEBASTIAO  ;PALHOÇASC
SAO SEBASTIAO 3;BELA VISTA DO TOLDOSC
SAPIRANGA      ;MELEIROSC
SAUDADES       ;SAUDADESSC
SCHLATTER      ;AGRONÔMICASC
SCHROEDER      ;SCHROEDERSC
SCHROEDER(R B) ;SCHROEDERSC
SEARA          ;SEARASC
SEDE BELEM     ;HERVAL D'OESTESC
SEDE CAPELA    ;ITAPIRANGASC
SEDE D ALICE   ;TANGARÁSC
SEDE FIGUEIRA  ;CHAPECÓSC
SEDE FLORES    ;GUARACIABASC
SEDE RIBEIRAO  ;VARGEÃOSC
SEDE SARANDI   ;HERVAL D'OESTESC
SEDE TRENTIM   ;CHAPECÓSC
SEDE UNIDAS    ;DIONÍSIO CERQUEIRASC
SER GUGELMIN   ;OTACÍLIO COSTASC
SERRA ALTA     ;SERRA ALTASC
SERRA CAMBARA  ;WITMARSUMSC
SERRA DA ABELHA;VITOR MEIRELESSC
SERRA DA PEDRA ;JACINTO MACHADOSC
SERRA DOS PIRES;CURITIBANOSSC
SERRA GRANDE   ;PETROLÂNDIASC
SERRA ILHEUS   ;POUSO REDONDOSC
SERRA LUCINDO 1;BELA VISTA DO TOLDOSC
SERRA MIRADOR  ;RIO DO CAMPOSC
SERRA MORTES   ;CANOINHASSC
SERRA S. MIGUEL;INDAIALSC
SERRADO        ;PONTE ALTASC
SERRARIA BACCIN;IPUAÇUSC
SERRARIA ZARDO ;SALTO VELOSOSC
SERRIL         ;TROMBUDO CENTRALSC
SERRINHA       ;AGRONÔMICASC
SERRINHA 2     ;IPUMIRIMSC
SERRINHA 3     ;JOSÉ BOITEUXSC
SERTAO ESTIVA  ;GRAVATALSC
SERTAO MARUIM  ;SÃO JOSÉSC
SERTAO MEDEIROS;GRAVATALSC
SERTAO TROMBUDO;ITAPEMASC
SERTAO(UNIVALI);SÃO JOSÉSC
SIDEROPOLIS    ;SIDERÓPOLISSC
SILO           ;CAPINZALSC
SILVIO PIZOLLO ;JACINTO MACHADOSC
SIQUEIRO       ;PESCARIA BRAVASC
SIRIU          ;GAROPABASC
SITIO NOVO     ;IMARUÍSC
SOARES         ;TURVOSC
SOL NASCENTE   ;GARUVASC
SOLEDADE       ;ITAPIRANGASC
SOMBRIO        ;SOMBRIOSC
SOROCABA       ;BIGUAÇUSC
STREIT         ;GUARAMIRIMSC
SUBIDA         ;INDAIALSC
SUL BRASIL     ;SUL BRASILSC
SUMIDOR        ;SANTA CECÍLIASC
SURUVI         ;CONCÓRDIASC
T BARRAS (B.GR);TRÊS BARRASSC
T BARREIROS    ;SÃO JOSÉSC
T BR 101/BR 486;ITAJAÍSC
T BR 116/SC 419;ITAIÓPOLISSC
T BR 153/BR 282;IRANISC
T BR 282/SC 468;CHAPECÓSC
T BR 470/BR 116;CURITIBANOSSC
T BR 470/SC 425;PONTE ALTASC
T BR-280/SC-301;ARAQUARISC
T BR282 VARGEAO;VARGEÃOSC
T E VELHO BR282;ERVAL VELHOSC
T GUATAMBU     ;CHAPECÓSC
T IRACEMINHA   ;MARAVILHASC
T ITA/BR 283   ;ITÁSC
T PALHOCA      ;PALHOÇASC
T PALMA SOLA   ;PALMA SOLASC
T PINHEIRINHO  ;CRICIÚMASC
T R IRACEMINHA ;IRACEMINHASC
T S JOSE       ;SÃO JOSÉSC
T SC 451/BR 153;ÁGUA DOCESC
T SC-302/BR-470;AGRONÔMICASC
T SC-413/BR-280;GUARAMIRIMSC
T. DE ITAPIRUBA;IMBITUBASC
T. TRES BARRAS ;TRÊS BARRASSC
T.PR-412/SC-415;GARUVASC
TAIO           ;TAIÓSC
TAIO GRANDE    ;ITAIÓPOLISSC
TAIOZINHO      ;RIO DO CAMPOSC
TAMANDUA 1     ;CANOINHASSC
TANGARA        ;TANGARÁSC
TANQUE         ;CAMPO BELO DO SULSC
TAQUARA VERDE  ;CAÇADORSC
TAQUARAL       ;PRESIDENTE CASTELLO BRANCOSC
TAQUARAS       ;RANCHO QUEIMADOSC
TAQUARINHA     ;CAXAMBU DO SULSC
TENENTE        ;JACINTO MACHADOSC
TERCEIRO BRACO ;MASSARANDUBASC
TERMAS GRAVATAL;GRAVATALSC
TESTO CENTRAL  ;POMERODESC
TESTO REGA     ;POMERODESC
TESTO SALTO    ;BLUMENAUSC
TIGIPIO        ;SÃO JOÃO BATISTASC
TIGRE          ;TIGRINHOSSC
TIGRINHOS      ;TIGRINHOSSC
TIJUCAS        ;TIJUCASSC
TIJUQUINHAS    ;BIGUAÇUSC
TIMBE DO SUL   ;TIMBÉ DO SULSC
TIMBO          ;TIMBÓSC
TIMBO GRANDE   ;TIMBÓ GRANDESC
TIMBOPEBA      ;SÃO JOÃO DO SULSC
TINGUI         ;MAFRASC
TOLDO VELHO    ;IPUAÇUSC
TOLEDO PR      ;SC
TOMAZELLI      ;CHAPECÓSC
TOPE DA SERRA  ;NOVA ITABERABASC
TOPE DA SERRA 1;MARAVILHASC
TORRES         ;SC
TOZZO          ;PONTE SERRADASC
TR IRACEMINHA  ;AGRONÔMICASC
TRAVESSAO      ;BRAÇO DO NORTESC
TRES ARVORES   ;LAGESSC
TRES BARRAS    ;TRÊS BARRASSC
TRES BARRAS 2  ;ITUPORANGASC
TRES BARRAS 3  ;MELEIROSC
TRES IRMAOS    ;PRAIA GRANDESC
TRES PINHEIROS ;ÁGUA DOCESC
TRES RIACHOS   ;BIGUAÇUSC
TRES VOLTAS DV ;CAMPO ERÊSC
TREVISO        ;TREVISOSC
TREVO ADAMI    ;ÁGUA DOCESC
TREVO BR 282/SC;AGRONÔMICASC
TREVO TERMOVAC ;URUSSANGASC
TREZE DE MAIO  ;TREZE DE MAIOSC
TREZE DE MAIO 1;BARRA BONITASC
TREZE TILIAS   ;TREZE TÍLIASSC
TRINDADE       ;MARAVILHASC
TROMB CENTRAL  ;TROMBUDO CENTRALSC
TUBARAO        ;TUBARÃOSC
TUBARAO(OFICIN);TUBARÃOSC
TUNAPOLIS      ;TUNÁPOLISSC
TURVO          ;TURVOSC
U DA VITORIA PR;SC
UBATE          ;SANTA CECÍLIASC
UBATUBA        ;SÃO FRANCISCO DO SULSC
UMBU           ;CAMPO BELO DO SULSC
UNIAO DO OESTE ;UNIÃO DO OESTESC
UNISUL         ;PALHOÇASC
URUBICI        ;URUBICISC
URUPEMA        ;URUPEMASC
URUSSANGA      ;URUSSANGASC
UVA            ;ITÁSC
V BOA ESPERANCA;SOMBRIOSC
V D FRANCISCA  ;JOINVILLESC
V S CRISTOVAO  ;SOMBRIOSC
V.RIB. S. PAULO;RIO DO SULSC
VACARIA RS     ;SC
VACARIANO      ;URUBICISC
VACAS GORDAS   ;URUBICISC
VAL MOSQUITINHO;AGRONÔMICASC
VAL MOSQUITO   ;AGRONÔMICASC
VARGEAO        ;VARGEÃOSC
VARGEM         ;VARGEMSC
VARGEM ALEGRE  ;BANDEIRANTESC
VARGEM BONITA  ;VARGEM BONITASC
VARGEM CANOAS  ;GRAVATALSC
VARGEM GRANDE 1;INDAIALSC
VARGEM GRANDE 2;ÁGUAS MORNASSC
VARGEM GRANDE 3;VIDAL RAMOSSC
VARGEM PINHEIRO;SANTO AMARO DA IMPERATRIZSC
VARGINHA       ;ANITÁPOLISSC
VEADOS         ;ÁGUA DOCESC
VENANCIO AIRES ;SC
VERANOPOLIS RS ;SC
VERDINHO       ;CRICIÚMASC
VIDAL RAMOS    ;VIDAL RAMOSSC
VIDEIRA        ;VIDEIRASC
VIGIA          ;CAPÃO ALTOSC
VIGORELLI      ;SÃO FRANCISCO DO SULSC
VILA AMIZADE   ;GUARAMIRIMSC
VILA CAETANO   ;JOAÇABASC
VILA CONCEICAO ;SÃO JOÃO DO SULSC
VILA DA GLORIA ;SÃO FRANCISCO DO SULSC
VILA FORMOSA   ;FORMOSA DO SULSC
VILA ITOUPAVA  ;BLUMENAUSC
VILA KENNEDY   ;LUZERNASC
VILA MARIA     ;NOVA VENEZASC
VILA NOVA 1    ;LUIZ ALVESSC
VILA NOVA 2    ;IÇARASC
VILA NOVA 3    ;IMBITUBASC
VILA NOVA 4    ;ITUPORANGASC
VILA NOVA 5    ;MARAVILHASC
VILA NOVA 6    ;PERITIBASC
VILA PROGRESSO ;TURVOSC
VILA RUTHES    ;MAFRASC
VILA S CATARINA;SÃO JOÃO DO SULSC
VILA S JORGE   ;SIDERÓPOLISSC
VILA S ROQUE   ;CAMPO ERÊSC
VILA SANTANA   ;SÃO LOURENÇO DO OESTESC
VILA TEODORO   ;TROMBUDO CENTRALSC
VILA VELHA     ;OTACÍLIO COSTASC
VISTA ALEGRE 1 ;QUILOMBOSC
VISTA ALEGRE 4 ;IPUAÇUSC
VISTA ALTA     ;PRINCESASC
VITOR MEIRELES ;VITOR MEIRELESSC
VITOR MEIRELES1;VITOR MEIRELESSC
VOLTA GRANDE 1 ;PIRATUBASC
VOLTA GRANDE 2 ;NAVEGANTESSC
VOLTA GRANDE 3 ;RIO NEGRINHOSC
VOLTA GRANDE 4 ;MIRIM DOCESC
VOLTA GRANDE 5 ;JOSÉ BOITEUXSC
VOLTA GRANDE 6 ;ALTO BELA VISTASC
VOLTA REDONDA  ;SIDERÓPOLISSC
WARNOW         ;INDAIALSC
WITMARSUM      ;WITMARSUMSC
XANXERE        ;XANXERÊSC
XAVANTINA      ;XAVANTINASC
XAXIM          ;XAXIMSC
XAXIM 2        ;CURITIBANOSSC
XV DE NOVEMBRO ;CONCÓRDIASC
Z SUL(B RINCAO);IÇARASC
ZIMBROS        ;BOMBINHASSC
ZONA ALTA      ;PIRATUBASC
ZORTEA         ;ZORTÉASC
